n_element = 3619332 , t_a_compute = 0.021555 seconds, bandwidth = 167.911132 GBytes/s, performance = 120.896015 GFlop/s, t_j_init = 0.010745 , t_j_init_copy = 0.010739 , t_a_init_copy = 0.020274 , t_j_end_copy = 0.013199 , t_a_end_copy = 0.022892
n_element = 3981265 , t_a_compute = 0.025324 seconds, bandwidth = 157.211870 GBytes/s, performance = 113.192547 GFlop/s, t_j_init = 0.011715 , t_j_init_copy = 0.012171 , t_a_init_copy = 0.021222 , t_j_end_copy = 0.012052 , t_a_end_copy = 0.022308
n_element = 4379391 , t_a_compute = 0.018949 seconds, bandwidth = 231.115977 GBytes/s, performance = 166.403504 GFlop/s, t_j_init = 0.012339 , t_j_init_copy = 0.012909 , t_a_init_copy = 0.022822 , t_j_end_copy = 0.012381 , t_a_end_copy = 0.021971
n_element = 4817330 , t_a_compute = 0.022468 seconds, bandwidth = 214.404484 GBytes/s, performance = 154.371229 GFlop/s, t_j_init = 0.014367 , t_j_init_copy = 0.014367 , t_a_init_copy = 0.025810 , t_j_end_copy = 0.013754 , t_a_end_copy = 0.024178
n_element = 5299063 , t_a_compute = 0.022967 seconds, bandwidth = 230.720312 GBytes/s, performance = 166.118625 GFlop/s, t_j_init = 0.014574 , t_j_init_copy = 0.015597 , t_a_init_copy = 0.027671 , t_j_end_copy = 0.015194 , t_a_end_copy = 0.026993
n_element = 5828969 , t_a_compute = 0.025288 seconds, bandwidth = 230.505850 GBytes/s, performance = 165.964212 GFlop/s, t_j_init = 0.016239 , t_j_init_copy = 0.017144 , t_a_init_copy = 0.030376 , t_j_end_copy = 0.016490 , t_a_end_copy = 0.029316
n_element = 6411865 , t_a_compute = 0.027842 seconds, bandwidth = 230.297941 GBytes/s, performance = 165.814518 GFlop/s, t_j_init = 0.017605 , t_j_init_copy = 0.019018 , t_a_init_copy = 0.033453 , t_j_end_copy = 0.018147 , t_a_end_copy = 0.032459
n_element = 7053051 , t_a_compute = 0.030673 seconds, bandwidth = 229.944849 GBytes/s, performance = 165.560292 GFlop/s, t_j_init = 0.019644 , t_j_init_copy = 0.020747 , t_a_init_copy = 0.036897 , t_j_end_copy = 0.019911 , t_a_end_copy = 0.035512
n_element = 7758356 , t_a_compute = 0.033495 seconds, bandwidth = 231.627274 GBytes/s, performance = 166.771637 GFlop/s, t_j_init = 0.022862 , t_j_init_copy = 0.022855 , t_a_init_copy = 0.040439 , t_j_end_copy = 0.021907 , t_a_end_copy = 0.038894
n_element = 8534191 , t_a_compute = 0.039863 seconds, bandwidth = 214.086222 GBytes/s, performance = 154.142080 GFlop/s, t_j_init = 0.023426 , t_j_init_copy = 0.025110 , t_a_init_copy = 0.044412 , t_j_end_copy = 0.024104 , t_a_end_copy = 0.042800
n_element = 9387610 , t_a_compute = 0.040796 seconds, bandwidth = 230.112969 GBytes/s, performance = 165.681338 GFlop/s, t_j_init = 0.025968 , t_j_init_copy = 0.027577 , t_a_init_copy = 0.048886 , t_j_end_copy = 0.026563 , t_a_end_copy = 0.047759
n_element = 10326371 , t_a_compute = 0.044637 seconds, bandwidth = 231.338709 GBytes/s, performance = 166.563871 GFlop/s, t_j_init = 0.029019 , t_j_init_copy = 0.030339 , t_a_init_copy = 0.053810 , t_j_end_copy = 0.029057 , t_a_end_copy = 0.052105
n_element = 11359008 , t_a_compute = 0.073708 seconds, bandwidth = 154.107351 GBytes/s, performance = 110.957293 GFlop/s, t_j_init = 0.028150 , t_j_init_copy = 0.033810 , t_a_init_copy = 0.059821 , t_j_end_copy = 0.032484 , t_a_end_copy = 0.057165
n_element = 12494908 , t_a_compute = 0.053772 seconds, bandwidth = 232.368598 GBytes/s, performance = 167.305391 GFlop/s, t_j_init = 0.036326 , t_j_init_copy = 0.036659 , t_a_init_copy = 0.064924 , t_j_end_copy = 0.035149 , t_a_end_copy = 0.062469
n_element = 13744398 , t_a_compute = 0.059335 seconds, bandwidth = 231.640561 GBytes/s, performance = 166.781204 GFlop/s, t_j_init = 0.038757 , t_j_init_copy = 0.040438 , t_a_init_copy = 0.071468 , t_j_end_copy = 0.040008 , t_a_end_copy = 0.068925
